dayofyear,predicted_safari,predicted_everest,predicted_dino
1,43,49,29
2,21,31,27
3,27,37,31
4,40,41,26
5,41,39,21
6,33,33,25
7,20,24,19
8,35,36,22
9,30,32,31
10,21,21,15
11,21,21,15
12,13,13,11
13,18,19,21
14,17,29,15
15,48,38,31
16,47,41,33
17,57,42,30
18,20,21,18
19,24,19,15
20,28,19,17
21,28,20,12
22,33,28,27
23,36,55,24
24,33,25,18
25,25,15,16
26,13,10,11
27,13,12,14
28,50,31,23
29,53,36,33
30,45,29,26
31,35,26,25
32,18,16,13
33,26,13,14
34,20,18,16
35,45,35,22
36,54,36,25
37,40,38,30
38,45,38,28
39,20,22,19
40,28,21,17
41,70,28,21
42,62,36,26
43,77,44,30
44,71,51,37
45,67,40,31
46,32,20,20
47,46,21,19
48,51,26,24
49,47,52,26
50,58,41,27
51,58,49,43
52,27,26,26
53,17,24,21
54,19,20,12
55,61,26,22
56,74,25,23
57,51,28,26
58,46,37,29
59,36,25,23
60,22,20,17
61,25,14,14
62,38,17,16
63,22,29,23
64,36,33,22
65,44,36,31
66,40,31,25
67,31,29,20
68,38,26,18
69,42,27,29
70,40,58,32
71,41,38,34
72,45,39,29
73,63,44,44
74,75,44,43
75,71,39,31
76,65,51,31
77,52,57,30
78,46,33,28
79,47,42,29
80,43,35,27
81,43,31,25
82,59,36,27
83,54,40,28
84,52,46,29
85,54,49,30
86,43,42,34
87,42,43,33
88,38,42,32
89,55,44,22
90,53,43,27
91,35,37,27
92,35,40,27
93,52,38,27
94,43,36,27
95,51,36,28
96,70,38,26
97,49,54,29
98,45,46,27
99,44,49,29
100,58,45,29
101,48,34,32
102,34,31,24
103,35,32,24
104,55,39,32
105,65,38,35
106,62,44,34
107,40,30,23
108,37,30,25
109,36,29,23
110,38,30,23
111,41,33,24
112,42,38,26
113,43,44,27
114,43,46,22
115,38,38,26
116,20,16,17
117,18,15,13
118,27,25,18
119,33,34,21
120,37,35,28
121,41,42,24
122,36,37,21
123,30,22,21
124,25,18,14
125,45,28,19
126,47,30,25
127,50,40,23
128,35,27,20
129,24,16,19
130,28,20,16
131,35,15,15
132,28,25,24
133,28,37,23
134,43,34,26
135,41,32,23
136,28,29,22
137,24,20,19
138,23,20,21
139,35,27,26
140,43,31,25
141,41,33,25
142,46,34,26
143,40,35,30
144,43,31,28
145,43,33,27
146,44,34,25
147,35,35,23
148,41,37,25
149,43,37,32
150,31,35,29
151,27,30,27
152,30,28,22
153,34,28,20
154,39,35,22
155,43,33,24
156,29,31,23
157,34,27,23
158,34,27,26
159,37,30,26
160,37,30,24
161,41,30,23
162,35,25,19
163,24,25,20
164,29,28,23
165,32,25,22
166,25,24,24
167,32,27,24
168,25,23,24
169,27,21,14
170,20,19,18
171,32,26,21
172,31,26,25
173,43,35,20
174,28,27,26
175,22,25,19
176,28,29,18
177,20,25,19
178,26,28,26
179,25,24,25
180,25,25,25
181,21,24,24
182,34,33,19
183,28,34,18
184,24,23,23
185,18,20,19
186,27,28,24
187,23,23,22
188,25,27,27
189,19,26,16
190,18,28,21
191,15,21,22
192,25,29,27
193,29,34,30
194,21,29,27
195,37,38,22
196,16,23,24
197,21,29,22
198,28,28,25
199,29,37,27
200,42,29,24
201,31,29,21
202,27,35,23
203,20,27,32
204,17,26,25
205,19,29,28
206,31,32,25
207,37,29,25
208,32,26,29
209,25,28,26
210,29,25,26
211,23,34,22
212,25,21,23
213,21,33,23
214,29,39,28
215,27,26,31
216,26,27,28
217,26,24,25
218,31,29,24
219,21,23,23
220,35,31,32
221,32,30,27
222,34,33,26
223,29,31,26
224,20,24,25
225,28,30,22
226,26,28,23
227,28,26,25
228,22,26,25
229,36,30,28
230,41,28,27
231,33,27,25
232,32,27,25
233,28,24,23
234,23,28,24
235,29,28,22
236,20,19,22
237,24,20,25
238,19,19,23
239,24,25,19
240,19,18,20
241,16,15,16
242,12,13,14
243,10,10,12
244,11,10,12
245,12,16,14
246,24,24,22
247,37,34,24
248,28,26,20
249,22,13,13
250,12,10,11
251,17,15,11
252,20,14,11
253,15,16,16
254,18,21,17
255,19,23,16
256,22,12,14
257,19,15,14
258,24,18,13
259,24,12,13
260,30,20,15
261,33,20,17
262,28,17,16
263,24,14,18
264,20,12,18
265,24,14,20
266,23,15,18
267,38,29,20
268,20,13,24
269,27,15,20
270,30,16,16
271,18,9,15
272,23,14,16
273,31,21,19
274,29,25,19
275,34,30,22
276,30,39,18
277,27,20,17
278,23,17,20
279,23,14,25
280,34,33,28
281,28,26,23
282,56,40,34
283,54,35,32
284,47,32,26
285,27,24,26
286,42,30,30
287,45,32,32
288,30,28,31
289,45,29,27
290,32,21,21
291,28,25,19
292,34,21,17
293,34,20,17
294,44,31,25
295,43,36,25
296,41,29,28
297,29,21,23
298,24,19,20
299,34,15,20
300,21,18,18
301,30,23,19
302,29,30,19
303,25,28,31
304,19,18,23
305,22,13,17
306,17,14,19
307,19,15,17
308,25,24,17
309,36,34,25
310,39,37,21
311,46,32,19
312,37,27,21
313,46,24,19
314,51,30,22
315,54,43,23
316,55,32,27
317,42,34,23
318,31,28,17
319,35,20,14
320,24,17,12
321,30,21,13
322,33,30,21
323,33,33,26
324,59,63,39
325,58,65,43
326,66,70,46
327,63,61,42
328,44,49,41
329,49,47,29
330,50,48,28
331,32,26,27
332,34,24,24
333,34,27,19
334,39,35,19
335,32,23,9
336,27,26,17
337,36,31,20
338,34,38,25
339,34,26,22
340,35,26,16
341,40,23,16
342,31,27,20
343,36,27,20
344,40,34,25
345,59,37,27
346,57,32,27
347,33,24,19
348,21,22,17
349,22,27,18
350,35,37,25
351,38,36,33
352,64,55,40
353,47,47,41
354,61,55,48
355,53,49,37
356,39,47,30
357,37,38,27
358,24,32,22
359,64,49,30
360,70,42,39
361,73,55,43
362,74,66,50
363,66,75,56
364,62,64,44
365,55,51,43
